국립공원,탐방로_KM,자연관찰로_KM,공원사무소_개,탐방안내소_개,탐방지원센터_개,대피소_개,아영장_개,주차장_개,공중화장실_개,안내표지판_개
지리산,51,12,10,3,7,8,10,12,44,"1,408"
경주,39,1,4,,1,,,2,5,594
계룡산,21,3,3,1,6,,,3,11,349
한려해상,41,2,7,,5,,1,9,27,797
설악산,18,5,6,1,8,5,1,2,21,598
속리산,24,3,4,,4,,,2,21,508
내장산,19,4,2,1,3,,2,8,24,641
가야산,9,2,2,,4,,4,2,11,331
덕유산,14,1,3,,3,2,1,3,27,487
오대산,9,3,3,,4,1,1,5,16,566
주왕산,15,2,3,1,2,,1,1,8,327
태안해안,6,3,5,,3,,2,3,27,"1,110"
다도해해상,62,6,11,,3,,5,7,25,578
치악산,12,2,2,,2,,3,5,14,319
월악산,19,4,4,,5,,4,6,20,690
북한산,96,9,8,1,14,3,2,9,19,"1,780"
소백한,20,9,3,,6,,2,7,11,842
월출산,10,3,2,1,4,,2,6,11,370
변산반도,14,4,4,,4,,1,5,13,411
무등산,61,,4,,5,,,1,9,545
