공원명,일련번호,수계명,세부지점명,위치,X좌표,Y좌표,고도,작동여부
지리산북부,지북-1,,,뱀사골계곡(고정조사구1) - 요룡대,127.5883611,35.3573611,585,작동
지리산북부,지북-2,,,뱀사골계곡(고정조사구7) - 간장소,127.5894444,35.3260278,880,작동
지리산북부,지북-3,,,뱀사골계곡(고정조사구10) - 막차,127.5871667,35.3111389,1153,작동
계룡산,계룡-5,,,수통골화산계곡(특별보호구),127.276966666667,36.3374333333333,,작동
계룡산,계룡-4,,,동학계곡,127.217566666667,36.3523,,작동
계룡산,계룡-3,,,금잔디고개하단,127.2106,36.3646,,작동
계룡산,계룡-1,,,천황봉하단,,,,작동
계룡산,계룡-2,,,동월계곡,127.2549,36.3503,,작동
한려해상,한려-1,,,금산 자연관찰로,127.98583333,34.74053333,,작동
한려해상,한려-4,,,금평교일원,127.9636,34.77386666,,작동
한려해상,한려-5,,,특별보호구(칠보치마군락),,,,작동
한려해상,한려-3,,,특별보호구(쑥새밭골),127.97806666,34.77246666,,작동
한려해상,한려-2,,,금산정상,127.98246666,34.7542,,작동
한려해상동부,한동-1,,,달아공원,128.4036,34.7666,,작동
한려해상동부,한동-2,,,지심도,128.7503,34.82026666,,작동
설악산,설악-2,,,멸종위기식물원,128.51846666,38.16726666,,작동
설악산,설악-1,,,외설악지구(비선대일원),128.4556,38.17386666,,작동
설악산,설악-3,,,조사구 86-1번 격자,128.4539,38.09663333,,작동
설악산,설악-4,,,조사구 97-1번 격자,128.44863333,38.08943333,,작동
설악산,설악-10,,,필례령일원,128.43473333,38.07166666,,작동
설악산,설악-5,,,조사구 42-4번 격자,128.39023333,38.1552,,작동
설악산,설악-6,,,조사구 43-2번 격자,128.37406666,38.1584,,작동
설악산,설악-7,,,중청대피소,128.4604,38.12116666,,작동
설악산,설악-8,,,대청봉,128.4654,38.11916666,,작동
설악산,설악-9,,,소청일원,128.4551,38.12616666,,작동
속리산,속리-4,,,마당바위,127.9082,36.72466666,,작동
속리산,속리-2,,,탈암골화장실,127.84693333,36.54293333,,작동
속리산,속리-3,,,수정바윗골,127.91686666,36.7101,,작동
속리산,속리-1,,,법주사화장실,127.83593333,36.53953333,,작동
내장산,내장-2,,,연자봉 하단 500m,126.9003,35.48286666,,작동
내장산,내장-4,,,특별보호구(원적계곡),126.89743333,35.49293333,,작동
내장산,내장-3,,,특별보호구(내장동),126.92626666,35.48903333,,작동
내장산,내장-1,,,서래탐방지원센터 상단 500m,126.93853333,35.5064,,작동
내장산백암,백암-2,,,용수폭포(진노랑상사화군락지),126.88623333,35.43653333,,작동
내장산백암,백암-1,,,금강암,126.87516666,35.44713333,,작동
가야산,가야-8,,,동성봉,128.14003333,35.82246666,,작동
가야산,가야-7,,,중봉 하단,128.12256666,35.82346666,,작동
가야산,가야-4,,,심원골,128.13843333,35.79963333,,작동
가야산,가야-5,,,잔대밭골,128.09793333,35.8079,,작동
가야산,가야-6,,,칠불봉 하단,128.11666666,35.82106666,,작동
가야산,가야-16,,,칠불봉 철계단,128.12216666,35.82276666,,작동
가야산,가야-3,,,제2야영장,128.08186666,35.79573333,,작동
가야산,가야-9,,,제1야영장,128.08443333,35.79593333,,작동
덕유산,덕유-10,,,남덕유지역(서봉/구상나무군락지),127.66876666,35.77206666,,작동
덕유산,덕유-9,,,향적봉~중봉(가문비나무군락지),127.74533333,35.856,,작동
덕유산,덕유-8,,,향적봉~중봉(구상나무군락지1),127.74483333,35.8569,,작동
덕유산,덕유-7,,,향적봉~중봉(구상나무군락지2),127.74653333,35.8568,,작동
덕유산,덕유-6,,,상중리(치목소나무군락자원모니터링조사구),127.69873333,35.9597,,작동
덕유산,덕유-3,,,향적봉하단(자주솜대군락지),127.7527,35.8598,,작동
덕유산,덕유-4,,,모두막골계곡(광릉요광꽃),127.8129,35.8645,,작동
덕유산,덕유-5,,,오수자굴(자원모니터링조사구),127.76816666,35.8509,,작동
덕유산,덕유-1,,,칠연계곡(3번휀스/광릉요광꽃),127.7147,35.82836666,,작동
덕유산,덕유-2,,,칠연계곡(1번휀스/광릉요광꽃),127.7149,35.82726666,,작동
주왕산,주왕-4,,,주산지,129.19463333,36.3599,,작동
주왕산,주왕-3,,,절골계곡,129.18743333,36.36856666,,작동
