구분,담당부서,대수,위치,촬영범위,설치목적(공개장소일 경우에만 작성),"세부목적(청사보안, 무인계도, 산불감시 등 자세하게 작성)"
1,본사,41,청사 내외부,청사 내외부,시설안전 및 화재예방,청사보안
1,지리산경남,1,지리산경남사무소 입구,사무소 출입구,시설안전 및 화재예방,시설관리
2,지리산경남,7,지리산경남사무소,사무소 주변,시설안전 및 화재예방,시설관리
3,지리산경남,1,촛대봉(청학연못방향),촛대봉 울타리 밖(청학연못 방향),범죄예방,무인계도
4,지리산경남,1,천왕봉(칠선계곡입구),칠선계곡 입구,범죄예방,무인계도
5,지리산경남,1,목통,목통 입구,범죄예방,무인계도
6,지리산경남,1,국골입구,국골 입구 샛길,범죄예방,무인계도
7,지리산경남,1,도솔암 입구,도솔암 입구 샛길,범죄예방,무인계도
8,지리산경남,1,도장골 입구,도장골 입구 샛길,범죄예방,무인계도
9,지리산경남,1,조개골 입구,조개골 입구 샛길,범죄예방,무인계도
10,지리산경남,1,장당계곡 입구,장당계곡 입구,범죄예방,무인계도
11,지리산경남,5,치밭목대피소,치밭목대피소 일대,시설안전 및 화재예방,시설관리
12,지리산경남,9,화개탐방안내소,"안내소 내, 외 등",시설안전 및 화재예방,시설관리
13,지리산경남,2,자생식물관찰원,관리소 출입구,시설안전 및 화재예방,시설관리
14,지리산경남,2,중산리관광단지,"천왕봉, 지리산능선",시설안전 및 화재예방,시설관리
15,지리산경남,2,세석대피소,대피소 주변,시설안전 및 화재예방,시설관리
16,지리산경남,1,장터목대피소,대피소 주변,시설안전 및 화재예방,시설관리
17,지리산경남,2,장터목대피소,대피소 주변 능선,시설안전 및 화재예방,시설관리
18,지리산경남,1,중산리 주차장,중산리 주차장,시설안전 및 화재예방,시설관리
19,지리산경남,3,소막골야영장,소막골야영장 내,범죄예방,탐방객안전 및 시설관리
20,지리산경남,8,각 탐방로 입구,탐방로 입구,범죄예방,탐방객안전 및 시설관리
21,지리산경남,16,각 화장실 입구,화장실 입구,범죄예방,탐방객안전 및 시설관리
22,지리산경남,6,대원사길,대원사계곡길 일대,범죄예방,탐방객안전 및 시설관리
23,지리산경남,10,벽소령대피소,대피소 주변,시설안전 및 화재예방,시설관리
24,지리산경남,5,로타리대피소,대피소 주변,시설안전 및 화재예방,시설관리
25,지리산경남,7,세석대피소,대피소 주변,시설안전 및 화재예방,시설관리
26,지리산경남,1,장터목대피소,대피소 주변,시설안전 및 화재예방,시설관리
27,지리산경남,1,백무동탐방지원센터,탐방로 입구,범죄예방,탐방객안전 및 시설관리
28,지리산경남,7,내원야영장,내원야영장 내,범죄예방,탐방객안전 및 시설관리
29,지리산경남,3,소막골야영장,소막골야영장 내,범죄예방,탐방객안전 및 시설관리
30,지리산경남,2,"산청분소, 탐방로입구","산청분소, 탐방로입구",범죄예방,탐방객안전 및 시설관리
31,지리산경남,3,삼장분소,"삼장분소, 탐방로",시설안전 및 화재예방,시설관리
32,지리산경남,3,함양분소,함양분소 주변,시설안전 및 화재예방,시설관리
33,지리산경남,2,장터목대피소,대피소 주변,시설안전 및 화재예방,시설관리
34,지리산경남,5,장터목대피소,대피소 주변,시설안전 및 화재예방,시설관리
35,지리산경남,1,세석대피소,대피소 주변,시설안전 및 화재예방,시설관리
36,지리산경남,1,대원사계곡(용소),계곡 주변,시설안전 및 화재예방,탐방객 안전 및 무인계도
37,지리산경남,1,대원사계곡(일주문),계곡 주변,시설안전 및 화재예방,탐방객 안전 및 무인계도
38,지리산경남,1,대원사계곡(대원주차장),계곡 주변,시설안전 및 화재예방,탐방객 안전 및 무인계도
39,지리산경남,1,의신마을(베어빌리지),마을 주변,시설안전 및 화재예방,탐방객 안전 및 무인계도
40,지리산경남,1,의신계곡(구 헬기장 아래),계곡 주변,시설안전 및 화재예방,탐방객 안전 및 무인계도
