"순번","공원사무소코드","분류코드","일련번호","명칭(한글)","명칭(영문)","주소(지번)","주소(새주소)","전화번호","수용인원","예약방법(1:인터넷,2:현장)","이용구분(0:no,1:yes)","고도(m)","경도","위도","심볼코드"
"1","401","105","3","중청대피소","Jungcheong Shelter","강원도 양양군 서면 오색리 산1-24","강원도 양양군 서면 대청봉길 1","","120","1","Y","1596","128.4603949","38.121099","E"
"2","401","105","2","수렴동대피소","Suryeomdong Shelter","강원도 인제군 북면 용대리 산12-1","강원도 인제군 북면 백담로 1220 수렴동대피소","","18","1","Y","574","128.4141587","38.146411","E"
"3","401","105","4","소청대피소","Socheong Shelter","강원도 인제군 북면 용대리 산12-1","강원도 인제군 북면 백담로 1755 소청대피소","","70","2","Y","1450","128.4531738","38.126612","E"
"4","401","105","5","희운각대피소","Huiungak Shelter","강원도 인제군 북면 용대리 산12-1","강원도 인제군 북면 백담로 1925 희운각산장","","35","1","Y","1065","128.4649575","38.1326918","E"
"5","401","105","6","양폭대피소","Yangpok Shelter","강원도 속초시 설악동 산41","강원도 속초시 설악산로 1119-180 (설악동)","","30","1","Y","687","128.4739011","38.1400263","E"
"6","2001","105","2","윗세대피소(2)","Witse shelter (2)","제주 제주시 애월읍 광령리 산 183-6","제주 제주시 애월읍 1100로 2070-510","","100","2","Y","1694.36","126.5175722","33.3618801","E"
"7","2001","105","1","윗세대피소(1)","Witse shelter (1)","제주 제주시 애월읍 광령리 산 183-6","제주 제주시 애월읍 1100로 2070-510","","60","2","Y","1694.14","126.5176471","33.3620078","E"
"8","2001","105","7","속밭대피소","Sokbat shelter","제주 제주시 조천읍 교래리 산 137-2","","","25","2","Y","1116.53","126.581201","33.3801692","E"
"9","2001","105","5","진달래밭대피소","Jindalraebat shelter","제주 서귀포시 남원읍 하예리 산 1","","","100","2","Y","1518.53","126.5555104","33.3698376","E"
"10","2001","105","3","삼각봉대피소","Samgakbong shelter","제주 제주시 오라동 산 107-20","","","80","2","Y","1526.12","126.5307022","33.3767072","E"
"11","2001","105","4","탐라대피소","Tamra shelters","제주 제주시 오라동 산 107","","","40","2","Y","916.5","126.5397697","33.4001493","E"
"12","2001","105","6","평궤대피소","Pyeonggwe shelter","제주 서귀포시 토평동 산 1","","","60","2","Y","1483.48","126.545123","33.3487275","E"
"13","103","105","1","노고단대피소","Nogodan Shelter","전라남도 구례군 산동면 좌사리 산110-2","전라남도 구례군 산동면 노고단로 1068-368","061-783-1507","108","1","Y","1342","127.5263052","35.295971","E"
"14","102","105","1","연하천대피소","Yeonhacheon Shelter","전라북도 남원시 산내면 부운리 산120-5","미변환 지번 주소","","70","1","Y","1498","127.6131223","35.3312888","E"
"15","101","105","3","장터목대피소","Jangteomok Shelter","경상남도 함양군 마천면 강청리 산100","미변환 지번 주소","","135","1","Y","1656","127.7162686","35.3324016","E"
"16","101","105","4","치밭목대피소","Chibanmok Shelter","경상남도 산청군 삼장면 유평리 산51","경상남도 산청군 삼장면 평촌유평로 1404","055-972-7772","40","2","Y","1784","127.7505193","35.3485805","E"
"17","101","105","5","세석대피소","Seseok Shelter","경상남도 산청군 시천면 내대리 산325","경상남도 산청군 시천면 세석길 217-573","","190","1","Y","1563","127.6934436","35.3181129","E"
"18","103","105","2","피아골대피소","Piagol Shelter","전라남도 구례군 토지면 내동리 368","미변환 지번 주소","061-783-1928","50","2","Y","799","127.5559869","35.2860309","E"
"19","101","105","1","벽소령대피소","Byeoksoryeong Shelter","경상남도 함양군 마천면 삼정리 산161","경상남도 함양군 마천면 마천삼정로 1256","","120","1","Y","1323","127.6428096","35.3260399","E"
"20","101","105","2","로타리대피소","Rotari Shelter","경상남도 산청군 시천면 중산리 산208","경상남도 산청군 시천면 지리산대로 320-103","","35","1","Y","1339","127.7373653","35.3272409","E"
"21","901","105","1","노인봉대피소","Noinbong Shelters","강원 강릉시 연곡면 삼산리 산 1-12","강원도 강릉시 연곡면 소금강길 487","","50","2","Y","1324.82","128.6401229","37.7808591","E"
"22","1502","105","1","도봉대피소","Dobong Shelter","서울특별시 도봉구 도봉동 산31","서울특별시 도봉구 도봉산길 92-6 (도봉동)","02-954-5209","7","1","Y","258","127.0225538","37.6937261","E"
"23","1501","105","2","북한대피소","Bukhan Shelter","경기도 고양시 북한동 산1-1","경기도 고양시 덕양구 대서문길 375 (북한동)","02-954-9241","30","1","Y","574","126.9823051","37.6493139","E"
"24","1501","105","3","백운대피소","Baekun Shelter","경기도 고양시 덕양구 효자동 산1-1","미변환 지번 주소","02-905-0909","50","1","Y","645","126.9811215","37.6584998","E"
"25","1501","105","1","북한산인수대피소","Bukhansan Insu Shelter","경기도 고양시 덕양구 효자동","경기도 고양시 덕양구 북한산로 364-13 (효자동)","02-996-5306","0","1","Y","473","126.9851452","37.6612482","E"
"26","801","105","1","향적봉대피소","Hyangjeokbong Shelter","전라북도 무주군 설천면 삼공리 산109","미변환 지번 주소","063-322-1614","60","2","Y","1581","127.7468363","35.8587751","E"
"27","801","105","2","삿갓골재대피소","Satgatjae Shelter","경상남도 거창군 북상면 월성리 산282-3","미변환 지번 주소","","45","1","Y","1222","127.7049397","35.7911157","E"
